ACCRUAL Consolidado (BRL + FX);;;;;;;;;;;;;;;;;;;;;;;;;
Contrato: LOAN-1762377607291-5zWy-N;Período: 2025-01-07 → 2026-07-09;Moeda: USD;FX Contrato: 6.076400;Status: ATIVO;Apuração: 2025-01-07 → 2026-07-09;Base Juros: 30/360 · Capitalização Composta;Normas IFRS/CPC: CPC 02 · CPC 08 · CPC 48 · IAS 21 · IFRS 9;Diretriz: USD Loan → BRL (Accrual IFRS / CPC 02);Layout: Layout Padrão (default-v2);;;;;;;;;;;;;;;;
2025-04-22;1;0,00019049;1678636,122;319,7614;33244,6036;1678955,884;10200064,53;1943;202007,52;10202007,53;6,0764;9651486,25;1838,5;194502,31;9653324,75;5,7496;PTAX (BCB);-548578,28;-104,5;-548682,78;-5,3782;;;;
2025-04-23;1;0,00019049;1678955,884;319,8223;33564,4259;1679275,706;10202007,53;1943,37;203950,89;10203950,9;6,0764;9653324,75;1838,85;196341,16;9655163,6;5,7496;PTAX (BCB);-548682,78;-104,52;-548787,3;-5,3782;;;;
2025-04-24;1;0,00019049;1679275,706;319,8833;33884,3092;1679595,589;10203950,9;1943,74;205894,63;10205894,64;6,0764;9655163,6;1839,2;198180,36;9657002,8;5,7496;PTAX (BCB);-548787,3;-104,54;-548891,84;-5,3782;;;;
2025-04-25;1;0,00019049;1679595,589;319,9442;34204,2534;1679915,533;10205894,64;1944,11;207838,74;10207838,75;6,0764;9657002,8;1839,55;200019,91;9658842,35;5,7496;PTAX (BCB);-548891,84;-104,56;-548996,4;-5,3782;;;;
2025-04-26;1;0,00019049;1679915,533;320,0051;34524,2585;1680235,539;10207838,75;1944,48;209783,22;10209783,23;6,0764;9658842,35;1839,9;201859,81;9660682,25;5,7496;PTAX (BCB);-548996,4;-104,58;-549100,98;-5,3782;;;;
2025-04-27;1;0,00019049;1680235,539;320,0661;34844,3246;1680555,605;10209783,23;1944,85;211728,07;10211728,08;6,0764;9660682,25;1840,25;203700,06;9662522,5;5,7496;PTAX (BCB);-549100,98;-104,6;-549205,58;-5,3782;;;;
2025-04-28;1;0,00019049;1680555,605;320,1271;35164,4517;1680875,732;10211728,08;1945,22;213673,29;10213673,3;6,0764;9662522,5;1840,6;205540,66;9664363,11;5,7496;PTAX (BCB);-549205,58;-104,62;-549310,19;-5,3782;;;;
2025-04-29;1;0,00019049;1680875,732;320,1881;35484,6398;1681195,92;10213673,3;1945,59;215618,88;10215618,89;6,0764;9664363,11;1840,95;207381,61;9666204,06;5,7496;PTAX (BCB);-549310,19;-104,64;-549414,83;-5,3782;;;;
2025-04-30;1;0,00019049;1681195,92;320,249;35804,8888;1681516,169;10215618,89;1945,96;217564,84;10217564,85;6,0764;9516913,86;1812,87;209194,48;9518726,73;5,6608;PTAX (BCB);-698705,03;-133,09;-698838,12;-6,8396;;;;
2025-05-01;1;0,00019049;1681516,169;320,31;36125,1988;1681836,479;10217564,85;1946,33;219511,17;10219511,18;6,0764;9518726,73;1813,21;211007,69;9520539,94;5,6608;PTAX (BCB);-698838,12;-133,12;-698971,24;-6,8396;;;;
2025-05-02;1;0,00019049;1681836,479;320,3711;36445,5699;1682156,85;10219511,18;1946,7;221457,87;10221457,88;6,0764;9520539,94;1813,56;212821,25;9522353,5;5,6608;PTAX (BCB);-698971,24;-133,14;-699104,38;-6,8396;;;;
2025-05-03;1;0,00019049;1682156,85;320,4321;36766,002;1682477,282;10221457,88;1947,07;223404,94;10223404,96;6,0764;9522353,5;1813,9;214635,15;9524167,4;5,6608;PTAX (BCB);-699104,38;-133,17;-699237,56;-6,8396;;;;
2025-05-04;1;0,00019049;1682477,282;320,4931;37086,4951;1682797,775;10223404,96;1947,44;225352,38;10225352,4;6,0764;9524167,4;1814,25;216449,4;9525981,65;5,6608;PTAX (BCB);-699237,56;-133,19;-699370,75;-6,8396;;;;
2025-05-05;1;0,00019049;1682797,775;320,5542;37407,0493;1683118,329;10225352,4;1947,82;227300,2;10227300,22;6,0764;9525981,65;1814,59;218263,99;9527796,24;5,6608;PTAX (BCB);-699370,75;-133,23;-699503,98;-6,8396;;;;
2025-05-06;1;0,00019049;1683118,329;320,6152;37727,6645;1683438,945;10227300,22;1948,19;229248,39;10229248,4;6,0764;9527796,24;1814,94;220078,93;9529611,18;5,6608;PTAX (BCB);-699503,98;-133,25;-699637,22;-6,8396;;;;
2025-05-07;1;0,00019049;1683438,945;320,6763;38048,3408;1683759,621;10229248,4;1948,56;231196,95;10231196,96;6,0764;9529611,18;1815,28;221894,21;9531426,46;5,6608;PTAX (BCB);-699637,22;-133,28;-699770,5;-6,8396;;;;
2025-05-08;1;0,00019049;1683759,621;320,7374;38369,0782;1684080,358;10231196,96;1948,93;233145,88;10233145,89;6,0764;9573857,2;1823,71;223717,92;9575680,92;5,686;PTAX (BCB);-657339,76;-125,22;-657464,97;-6,4249;;;;
2025-05-09;1;0,00019049;1684080,358;320,7985;38689,8767;1684401,157;10233145,89;1949,3;235095,18;10235095,19;6,0764;9575680,92;1824,06;225541,98;9577504,98;5,686;PTAX (BCB);-657464,97;-125,24;-657590,21;-6,4249;;;;
2025-05-10;1;0,00019049;1684401,157;320,8596;39010,7363;1684722,016;10235095,19;1949,67;237044,85;10237044,86;6,0764;9577504,98;1824,41;227366,39;9579329,38;5,686;PTAX (BCB);-657590,21;-125,26;-657715,48;-6,4249;;;;
2025-05-11;1;0,00019049;1684722,016;320,9207;39331,657;1685042,937;10237044,86;1950,04;238994,89;10238994,9;6,0764;9579329,38;1824,76;229191,15;9581154,14;5,686;PTAX (BCB);-657715,48;-125,28;-657840,76;-6,4249;;;;
2025-05-12;1;0,00019049;1685042,937;320,9819;39652,6389;1685363,919;10238994,9;1950,41;240945,3;10240945,32;6,0764;9581154,14;1825,1;231016,25;9582979,24;5,686;PTAX (BCB);-657840,76;-125,31;-657966,08;-6,4249;;;;
2025-05-13;1;0,00019049;1685363,919;321,043;39973,6819;1685684,962;10240945,32;1950,79;242896,09;10242896,1;6,0764;9582979,24;1825,45;232841,7;9584804,69;5,686;PTAX (BCB);-657966,08;-125,34;-658091,41;-6,4249;;;;
2025-05-14;1;0,00019049;1685684,962;321,1042;40294,7861;1686006,066;10242896,1;1951,16;244847,25;10244847,26;6,0764;9584804,69;1825,8;234667,5;9586630,49;5,686;PTAX (BCB);-658091,41;-125,36;-658216,77;-6,4249;;;;
2025-05-15;1;0,00019049;1686006,066;321,1653;40615,9514;1686327,231;10244847,26;1951,53;246798,78;10246798,79;6,0764;9586630,49;1826,15;236493,65;9588456,64;5,686;PTAX (BCB);-658216,77;-125,38;-658342,15;-6,4249;;;;
2025-05-16;1;0,00019049;1686327,231;321,2265;40937,1779;1686648,458;10246798,79;1951,9;248750,68;10248750,69;6,0764;9599417,76;1828,58;238322,23;9601246,35;5,6925;PTAX (BCB);-647381,03;-123,32;-647504,34;-6,3179;;;;
2025-05-17;1;0,00019049;1686648,458;321,2877;41258,4656;1686969,746;10248750,69;1952,27;250702,95;10250702,96;6,0764;9601246,35;1828,93;240151,16;9603075,28;5,6925;PTAX (BCB);-647504,34;-123,34;-647627,68;-6,3179;;;;
2025-05-18;1;0,00019049;1686969,746;321,3489;41579,8145;1687291,095;10250702,96;1952,64;252655,59;10252655,61;6,0764;9603075,28;1829,28;241980,44;9604904,56;5,6925;PTAX (BCB);-647627,68;-123,36;-647751,05;-6,3179;;;;
2025-05-19;1;0,00019049;1687291,095;321,4101;41901,2246;1687612,505;10252655,61;1953,02;254608,61;10254608,62;6,0764;9604904,56;1829,63;243810,07;9606734,18;5,6925;PTAX (BCB);-647751,05;-123,39;-647874,44;-6,3179;;;;
2025-05-20;1;0,00019049;1687612,505;321,4713;42222,6959;1687933,976;10254608,62;1953,39;256562;10256562,01;6,0764;9606734,18;1829,98;245640,05;9608564,16;5,6925;PTAX (BCB);-647874,44;-123,41;-647997,85;-6,3179;;;;
2025-05-21;1;0,00019049;1687933,976;321,5326;42544,2285;1688255,509;10256562,01;1953,76;258515,76;10258515,77;6,0764;9608564,16;1830,32;247470,37;9610394,48;5,6925;PTAX (BCB);-647997,85;-123,44;-648121,29;-6,3179;;;;
2025-05-22;1;0,00019049;1688255,509;321,5938;42865,8223;1688577,102;10258515,77;1954,13;260469,89;10260469,9;6,0764;9610394,48;1830,67;249301,04;9612225,15;5,6925;PTAX (BCB);-648121,29;-123,46;-648244,75;-6,3179;;;;
2025-05-23;1;0,00019049;1688577,102;321,6551;43187,4774;1688898,757;10260469,9;1954,51;262424,4;10262424,41;6,0764;9612225,15;1831,02;251132,06;9614056,18;5,6925;PTAX (BCB);-648244,75;-123,49;-648368,23;-6,3179;;;;
2025-05-24;1;0,00019049;1688898,757;321,7164;43509,1938;1689220,474;10262424,41;1954,88;264379,28;10264379,29;6,0764;10262424,41;1954,88;253086,94;10264379,29;6,0764;Contrato (PTAX indisponível);0;0;0;0;;;;
2025-05-25;1;0,00019049;1689220,474;321,7776;43830,9714;1689542,251;10264379,29;1955,25;266334,53;10266334,54;6,0764;10264379,29;1955,25;255042,19;10266334,54;6,0764;Contrato (PTAX indisponível);0;0;0;0;;;;
2025-05-26;1;0,00019049;1689542,251;321,8389;44152,8103;1689864,09;10266334,54;1955,62;268290,15;10268290,16;6,0764;9566019,27;1822,22;256864,41;9567841,49;5,6619;PTAX (BCB);-700315,27;-133,4;-700448,67;-6,8215;;;;
2025-05-27;1;0,00019049;1689864,09;321,9002;44474,7105;1690185,991;10268290,16;1955,99;270246,14;10270246,15;6,0764;9567841,49;1822,57;258686,98;9569664,06;5,6619;PTAX (BCB);-700448,67;-133,42;-700582,09;-6,8215;;;;
2025-05-28;1;0,00019049;1690185,991;321,9616;44796,6721;1690507,952;10270246,15;1956,37;272202,51;10272202,52;6,0764;9569664,06;1822,91;260509,89;9571486,97;5,6619;PTAX (BCB);-700582,09;-133,46;-700715,55;-6,8215;;;;
2025-05-29;1;0,00019049;1690507,952;322,0229;45118,695;1690829,975;10272202,52;1956,74;274159,25;10274159,26;6,0764;9571486,97;1823,26;262333,15;9573310,24;5,6619;PTAX (BCB);-700715,55;-133,48;-700849,02;-6,8215;;;;
2025-05-30;1;0,00019049;1690829,975;322,0842;45440,7792;1691152,059;10274159,26;1957,11;276116,36;10276116,37;6,0764;9573310,24;1823,61;264156,76;9575133,84;5,6619;PTAX (BCB);-700849,02;-133,5;-700982,53;-6,8215;;;;
2025-05-31;1;0,00019049;1691152,059;322,1456;45762,9248;1691474,205;10276116,37;1957,49;278073,85;10278073,86;6,0764;9575133,84;1823,96;265980,72;9576957,8;5,6619;PTAX (BCB);-700982,53;-133,53;-701116,06;-6,8215;;;;
2025-06-01;0;0;1691474,205;0;45762,9248;1691474,205;10278073,86;0;278073,85;10278073,86;6,0764;9576957,8;0;265980,72;9576957,8;5,6619;PTAX (BCB);-701116,06;0;-701116,06;-6,8215;;;;
2025-06-02;1;0,00019049;1691474,205;322,2069;46085,1317;1691796,412;10278073,86;1957,86;280031,71;10280031,72;6,0764;9576957,8;1824,3;267805,02;9578782,1;5,6619;PTAX (BCB);-701116,06;-133,56;-701249,62;-6,8215;;;;
2025-06-03;1;0,00019049;1691796,412;322,2683;46407,4;1692118,68;10280031,72;1958,23;281989,94;10281989,95;6,0764;9591470,58;1827,07;269632,09;9593297,64;5,6694;PTAX (BCB);-688561,14;-131,16;-688692,31;-6,698;;;;
2025-06-04;1;0,00019049;1692118,68;322,3297;46729,7297;1692441,01;10281989,95;1958,6;283948,54;10283948,55;6,0764;9593297,64;1827,42;271459,51;9595125,06;5,6694;PTAX (BCB);-688692,31;-131,18;-688823,49;-6,698;;;;
2025-06-05;1;0,00019049;1692441,01;322,3911;47052,1208;1692763,401;10283948,55;1958,98;285907,52;10285907,53;6,0764;9595125,06;1827,76;273287,27;9596952,82;5,6694;PTAX (BCB);-688823,49;-131,22;-688954,71;-6,698;;;;
2025-06-06;1;0,00019049;1692763,401;322,4525;47374,5733;1693085,853;10285907,53;1959,35;287866,87;10287866,88;6,0764;9596952,82;1828,11;275115,38;9598780,94;5,6694;PTAX (BCB);-688954,71;-131,24;-689085,94;-6,698;;;;
2025-06-07;1;0,00019049;1693085,853;322,5139;47697,0872;1693408,367;10287866,88;1959,72;289826,59;10289826,6;6,0764;9598780,94;1828,46;276943,84;9600609,4;5,6694;PTAX (BCB);-689085,94;-131,26;-689217,2;-6,698;;;;
2025-06-08;1;0,00019049;1693408,367;322,5754;48019,6626;1693730,943;10289826,6;1960,1;291786,69;10291786,7;6,0764;9600609,4;1828,81;278772,65;9602438,21;5,6694;PTAX (BCB);-689217,2;-131,29;-689348,49;-6,698;;;;
2025-06-09;1;0,00019049;1693730,943;322,6368;48342,2994;1694053,579;10291786,7;1960,47;293747,16;10293747,17;6,0764;9602438,21;1829,16;280601,81;9604267,36;5,6694;PTAX (BCB);-689348,49;-131,31;-689479,81;-6,698;;;;
2025-06-10;1;0,00019049;1694053,579;322,6983;48664,9977;1694376,278;10293747,17;1960,84;295708;10295708,01;6,0764;9604267,36;1829,51;282431,32;9606096,87;5,6694;PTAX (BCB);-689479,81;-131,33;-689611,14;-6,698;;;;
2025-06-11;1;0,00019049;1694376,278;322,7598;48987,7575;1694699,038;10295708,01;1961,22;297669,22;10297669,23;6,0764;9385150,2;1787,77;284219,09;9386937,97;5,539;PTAX (BCB);-910557,81;-173,45;-910731,26;-8,8441;;;;
2025-06-12;1;0,00019049;1694699,038;322,8212;49310,5787;1695021,859;10297669,23;1961,59;299630,81;10299630,82;6,0764;9386937,97;1788,11;286007,2;9388726,08;5,539;PTAX (BCB);-910731,26;-173,48;-910904,74;-8,8441;;;;
2025-06-13;1;0,00019049;1695021,859;322,8827;49633,4614;1695344,741;10299630,82;1961,96;301592,77;10301592,79;6,0764;9388726,08;1788,45;287795,65;9390514,52;5,539;PTAX (BCB);-910904,74;-173,51;-911078,27;-8,8441;;;;
2025-06-14;1;0,00019049;1695344,741;322,9442;49956,4056;1695667,686;10301592,79;1962,34;303555,11;10303555,12;6,0764;9390514,52;1788,79;289584,44;9392303,31;5,539;PTAX (BCB);-911078,27;-173,55;-911251,81;-8,8441;;;;
2025-06-15;1;0,00019049;1695667,686;323,0058;50279,4114;1695990,691;10303555,12;1962,71;305517,82;10305517,84;6,0764;9392303,31;1789,13;291373,57;9394092,44;5,539;PTAX (BCB);-911251,81;-173,58;-911425,4;-8,8441;;;;
2025-06-16;1;0,00019049;1695990,691;323,0673;50602,4787;1696313,759;10305517,84;1963,09;307480,91;10307480,92;6,0764;9394092,44;1789,47;293163,04;9395881,91;5,539;PTAX (BCB);-911425,4;-173,62;-911599,01;-8,8441;;;;
2025-06-17;1;0,00019049;1696313,759;323,1288;50925,6075;1696636,888;10307480,92;1963,46;309444,37;10309444,38;6,0764;9395881,91;1789,81;294952,85;9397671,72;5,539;PTAX (BCB);-911599,01;-173,65;-911772,66;-8,8441;;;;
2025-06-18;1;0,00019049;1696636,888;323,1904;51248,7979;1696960,078;10309444,38;1963,83;311408,2;10311408,22;6,0764;9397671,72;1790,15;296743;9399461,87;5,539;PTAX (BCB);-911772,66;-173,68;-911946,35;-8,8441;;;;
2025-06-19;1;0,00019049;1696960,078;323,2519;51572,0498;1697283,33;10311408,22;1964,21;313372,41;10313372,43;6,0764;10311408,22;1964,21;298707,21;10313372,43;6,0764;Contrato (PTAX indisponível);0;0;0;0;;;;
2025-06-20;1;0,00019049;1697283,33;323,3135;51895,3633;1697606,643;10313372,43;1964,58;315336,99;10315337,01;6,0764;9327760;1776,83;300484,04;9329536,83;5,4957;PTAX (BCB);-985612,43;-187,75;-985800,18;-9,5566;;;;
2025-06-21;1;0,00019049;1697606,643;323,3751;52218,7384;1697930,018;10315337,01;1964,96;317301,95;10317301,96;6,0764;9329536,83;1777,17;302261,21;9331314;5,4957;PTAX (BCB);-985800,18;-187,79;-985987,96;-9,5566;;;;
2025-06-22;1;0,00019049;1697930,018;323,4367;52542,1751;1698253,455;10317301,96;1965,33;319267,28;10319267,29;6,0764;9331314;1777,51;304038,72;9333091,51;5,4957;PTAX (BCB);-985987,96;-187,82;-986175,78;-9,5566;;;;
2025-06-23;1;0,00019049;1698253,455;323,4983;52865,6734;1698576,953;10319267,29;1965,71;321232,99;10321233;6,0764;9333091,51;1777,85;305816,57;9334869,36;5,4957;PTAX (BCB);-986175,78;-187,86;-986363,64;-9,5566;;;;
2025-06-24;1;0,00019049;1698576,953;323,5599;53189,2333;1698900,513;10321233;1966,08;323199,07;10323199,08;6,0764;9334869,36;1778,19;307594,76;9336647,55;5,4957;PTAX (BCB);-986363,64;-187,89;-986551,53;-9,5566;;;;
2025-06-25;1;0,00019049;1698900,513;323,6216;53512,8549;1699224,135;10323199,08;1966,45;325165,52;10325165,53;6,0764;9336647,55;1778,53;309373,29;9338426,08;5,4957;PTAX (BCB);-986551,53;-187,92;-986739,45;-9,5566;;;;
2025-06-26;1;0,00019049;1699224,135;323,6832;53836,5381;1699547,818;10325165,53;1966,83;327132,35;10327132,36;6,0764;9338426,08;1778,87;311152,16;9340204,94;5,4957;PTAX (BCB);-986739,45;-187,96;-986927,42;-9,5566;;;;
2025-06-27;1;0,00019049;1699547,818;323,7449;54160,283;1699871,563;10327132,36;1967,2;329099,55;10329099,57;6,0764;9340204,94;1779,2;312931,36;9341984,15;5,4957;PTAX (BCB);-986927,42;-188;-987115,42;-9,5566;;;;
2025-06-28;1;0,00019049;1699871,563;323,8065;54484,0895;1700195,37;10329099,57;1967,58;331067,13;10331067,14;6,0764;10329099,57;1967,58;314898,94;10331067,14;6,0764;Contrato (PTAX indisponível);0;0;0;0;;;;
2025-06-29;1;0,00019049;1700195,37;323,8682;54807,9577;1700519,238;10331067,14;1967,95;333035,08;10333035,1;6,0764;10331067,14;1967,95;316866,89;10333035,1;6,0764;Contrato (PTAX indisponível);0;0;0;0;;;;
2025-06-30;1;0,00019049;1700519,238;323,9299;55131,8876;1700843,168;10333035,1;1968,33;335003,41;10335003,42;6,0764;9279903,53;1767,72;318634,61;9281671,25;5,4571;PTAX (BCB);-1053131,57;-200,61;-1053332,17;-10,1919;;;;
2025-07-01;1;0,00019049;1700843,168;323,9916;55455,8792;1701167,159;10335003,42;1968,7;336972,11;10336972,13;6,0764;9281671,25;1768,05;320402,66;9283439,3;5,4571;PTAX (BCB);-1053332,17;-200,65;-1053532,83;-10,1919;;;;
2025-07-02;1;0,00019049;1701167,159;324,0533;55779,9325;1701491,213;10336972,13;1969,08;338941,19;10338941,2;6,0764;9283439,3;1768,39;322171,05;9285207,7;5,4571;PTAX (BCB);-1053532,83;-200,69;-1053733,5;-10,1919;;;;
2025-07-03;1;0,00019049;1701491,213;324,1151;56104,0476;1701815,328;10338941,2;1969,45;340910,64;10340910,66;6,0764;9285207,7;1768,73;323939,78;9286976,42;5,4571;PTAX (BCB);-1053733,5;-200,72;-1053934,24;-10,1919;;;;
2025-07-04;1;0,00019049;1701815,328;324,1768;56428,2244;1702139,504;10340910,66;1969,83;342880,47;10342880,48;6,0764;9286976,42;1769,07;325708,85;9288745,49;5,4571;PTAX (BCB);-1053934,24;-200,76;-1054134,99;-10,1919;;;;
2025-07-05;1;0,00019049;1702139,504;324,2386;56752,463;1702463,743;10342880,48;1970,2;344850,67;10344850,69;6,0764;9288745,49;1769,4;327478,25;9290514,89;5,4571;PTAX (BCB);-1054134,99;-200,8;-1054335,8;-10,1919;;;;
2025-07-06;1;0,00019049;1702463,743;324,3003;57076,7633;1702788,043;10344850,69;1970,58;346821,25;10346821,27;6,0764;9290514,89;1769,74;329247,99;9292284,63;5,4571;PTAX (BCB);-1054335,8;-200,84;-1054536,64;-10,1919;;;;
2025-07-07;1;0,00019049;1702788,043;324,3621;57401,1254;1703112,405;10346821,27;1970,95;348792,2;10348792,22;6,0764;9292284,63;1770,08;331018,07;9294054,71;5,4571;PTAX (BCB);-1054536,64;-200,87;-1054737,51;-10,1919;;;;
2025-07-08;1;0,00019049;1703112,405;324,4239;57725,5493;1703436,829;10348792,22;1971,33;350763,53;10350763,55;6,0764;9294054,71;1770,41;332788,48;9295825,12;5,4571;PTAX (BCB);-1054737,51;-200,92;-1054938,43;-10,1919;;;;
2025-07-09;1;0,00019049;1703436,829;324,4857;58050,035;1703761,315;10350763,55;1971,7;352735,23;10352735,25;6,0764;9295825,12;1770,75;334559,23;9297595,87;5,4571;PTAX (BCB);-1054938,43;-200,95;-1055139,38;-10,1919;;;;
2025-07-10;1;0,00019049;1703761,315;324,5475;58374,5825;1704085,863;10352735,25;1972,08;354707,31;10354707,33;6,0764;9297595,87;1771,09;336330,32;9299366,96;5,4571;PTAX (BCB);-1055139,38;-200,99;-1055340,37;-10,1919;;;;
2025-07-11;1;0,00019049;1704085,863;324,6093;58699,1918;1704410,472;10354707,33;1972,46;356679,77;10356679,79;6,0764;9299366,96;1771,43;338101,75;9301138,39;5,4571;PTAX (BCB);-1055340,37;-201,03;-1055541,4;-10,1919;;;;
2025-07-12;1;0,00019049;1704410,472;324,6712;59023,863;1704735,143;10356679,79;1972,83;358652,6;10358652,62;6,0764;9301138,39;1771,76;339873,51;9302910,15;5,4571;PTAX (BCB);-1055541,4;-201,07;-1055742,47;-10,1919;;;;
2025-07-13;1;0,00019049;1704735,143;324,733;59348,596;1705059,876;10358652,62;1973,21;360625,81;10360625,83;6,0764;9302910,15;1772,1;341645,61;9304682,25;5,4571;PTAX (BCB);-1055742,47;-201,11;-1055943,58;-10,1919;;;;
2025-07-14;1;0,00019049;1705059,876;324,7949;59673,3909;1705384,671;10360625,83;1973,58;362599,39;10362599,41;6,0764;9304682,25;1772,44;343418,05;9306454,69;5,4571;PTAX (BCB);-1055943,58;-201,14;-1056144,72;-10,1919;;;;
2025-07-15;1;0,00019049;1705384,671;324,8567;59998,2476;1705709,528;10362599,41;1973,96;364573,35;10364573,37;6,0764;9306454,69;1772,78;345190,83;9308227,46;5,4571;PTAX (BCB);-1056144,72;-201,18;-1056345,91;-10,1919;;;;
2025-07-16;1;0,00019049;1705709,528;324,9186;60323,1662;1706034,446;10364573,37;1974,34;366547,69;10366547,71;6,0764;9504554,63;1810,51;347001,34;9506365,14;5,5722;PTAX (BCB);-860018,74;-163,83;-860182,57;-8,2977;;;;
2025-07-17;1;0,00019049;1706034,446;324,9805;60648,1467;1706359,427;10366547,71;1974,71;368522,4;10368522,42;6,0764;9506365,14;1810,86;348812,2;9508176;5,5722;PTAX (BCB);-860182,57;-163,85;-860346,42;-8,2977;;;;
2025-07-18;1;0,00019049;1706359,427;325,0424;60973,1891;1706684,469;10368522,42;1975,09;370497,49;10370497,51;6,0764;9508176;1811,2;350623,4;9509987,2;5,5722;PTAX (BCB);-860346,42;-163,89;-860510,31;-8,2977;;;;
2025-07-19;1;0,00019049;1706684,469;325,1043;61298,2934;1707009,573;10370497,51;1975,46;372472,95;10372472,97;6,0764;9509987,2;1811,55;352434,95;9511798,74;5,5722;PTAX (BCB);-860510,31;-163,91;-860674,23;-8,2977;;;;
2025-07-20;1;0,00019049;1707009,573;325,1663;61623,4597;1707334,74;10372472,97;1975,84;374448,79;10374448,81;6,0764;9511798,74;1811,89;354246,84;9513610,64;5,5722;PTAX (BCB);-860674,23;-163,95;-860838,17;-8,2977;;;;
2025-07-21;1;0,00019049;1707334,74;325,2282;61948,6879;1707659,968;10374448,81;1976,22;376425,01;10376425,03;6,0764;9513610,64;1812,24;356059,08;9515422,87;5,5722;PTAX (BCB);-860838,17;-163,98;-861002,16;-8,2977;;;;
2025-07-22;1;0,00019049;1707659,968;325,2902;62273,9781;1707985,258;10376425,03;1976,59;378401,6;10378401,62;6,0764;9515422,87;1812,58;357871,66;9517235,46;5,5722;PTAX (BCB);-861002,16;-164,01;-861166,16;-8,2977;;;;
2025-07-23;1;0,00019049;1707985,258;325,3521;62599,3302;1708310,61;10378401,62;1976,97;380378,57;10380378,59;6,0764;9517235,46;1812,93;359684,59;9519048,38;5,5722;PTAX (BCB);-861166,16;-164,04;-861330,21;-8,2977;;;;
2025-07-24;1;0,00019049;1708310,61;325,4141;62924,7443;1708636,024;10380378,59;1977,35;382355,92;10382355,94;6,0764;9436536,98;1797,55;361482,14;9438334,53;5,5239;PTAX (BCB);-943841,61;-179,8;-944021,41;-9,0926;;;;
2025-07-25;1;0,00019049;1708636,024;325,4761;63250,2204;1708961,5;10382355,94;1977,72;384333,64;10384333,66;6,0764;9438334,53;1797,9;363280,04;9440132,43;5,5239;PTAX (BCB);-944021,41;-179,82;-944201,23;-9,0926;;;;
2025-07-26;1;0,00019049;1708961,5;325,5381;63575,7585;1709287,039;10384333,66;1978,1;386311,74;10386311,76;6,0764;9440132,43;1798,24;365078,28;9441930,67;5,5239;PTAX (BCB);-944201,23;-179,86;-944381,09;-9,0926;;;;
2025-07-27;1;0,00019049;1709287,039;325,6001;63901,3586;1709612,639;10386311,76;1978,48;388290,22;10388290,24;6,0764;9441930,67;1798,58;366876,86;9443729,25;5,5239;PTAX (BCB);-944381,09;-179,9;-944560,99;-9,0926;;;;
2025-07-28;1;0,00019049;1709612,639;325,6621;64227,0207;1709938,301;10388290,24;1978,85;390269,07;10390269,09;6,0764;9443729,25;1798,92;368675,78;9445528,18;5,5239;PTAX (BCB);-944560,99;-179,93;-944740,91;-9,0926;;;;
2025-07-29;1;0,00019049;1709938,301;325,7241;64552,7448;1710264,025;10390269,09;1979,23;392248,3;10392248,32;6,0764;9445528,18;1799,27;370475,05;9447327,45;5,5239;PTAX (BCB);-944740,91;-179,96;-944920,87;-9,0926;;;;
2025-07-30;1;0,00019049;1710264,025;325,7862;64878,531;1710589,811;10392248,32;1979,61;394227,91;10394227,93;6,0764;9447327,45;1799,61;372274,66;9449127,06;5,5239;PTAX (BCB);-944920,87;-180;-945100,87;-9,0926;;;;
2025-07-31;1;0,00019049;1710589,811;325,8483;65204,3793;1710915,659;10394227,93;1979,98;396207,89;10396207,91;6,0764;9449127,06;1799,95;374074,61;9450927,01;5,5239;PTAX (BCB);-945100,87;-180,03;-945280,9;-9,0926;;;;
2025-08-01;0;0;1710915,659;0;65204,3793;1710915,659;10396207,91;0;396207,89;10396207,91;6,0764;9484632,05;0;374074,61;9484632,05;5,5436;PTAX (BCB);-911575,86;0;-911575,86;-8,7683;;;;
2025-08-02;1;0,00019049;1710915,659;325,9103;65530,2896;1711241,57;10396207,91;1980,36;398188,25;10398188,27;6,0764;9484632,05;1806,72;375881,33;9486438,77;5,5436;PTAX (BCB);-911575,86;-173,64;-911749,5;-8,7683;;;;
2025-08-03;1;0,00019049;1711241,57;325,9724;65856,262;1711567,542;10398188,27;1980,74;400168,99;10400169,01;6,0764;9486438,77;1807,06;377688,39;9488245,83;5,5436;PTAX (BCB);-911749,5;-173,68;-911923,18;-8,7683;;;;
2025-08-04;1;0,00019049;1711567,542;326,0345;66182,2965;1711893,577;10400169,01;1981,12;402150,11;10402150,13;6,0764;9488245,83;1807,4;379495,79;9490053,23;5,5436;PTAX (BCB);-911923,18;-173,72;-912096,9;-8,7683;;;;
2025-08-05;1;0,00019049;1711893,577;326,0966;66508,3931;1712219,673;10402150,13;1981,49;404131,6;10404131,62;6,0764;9490053,23;1807,75;381303,54;9491860,98;5,5436;PTAX (BCB);-912096,9;-173,74;-912270,64;-8,7683;;;;
2025-08-06;1;0,00019049;1712219,673;326,1587;66834,5518;1712545,832;10404131,62;1981,87;406113,47;10406113,49;6,0764;9491860,98;1808,09;383111,63;9493669,07;5,5436;PTAX (BCB);-912270,64;-173,78;-912444,42;-8,7683;;;;
2025-08-07;1;0,00019049;1712545,832;326,2209;67160,7727;1712872,053;10406113,49;1982,25;408095,72;10408095,74;6,0764;9493669,07;1808,44;384920,07;9495477,51;5,5436;PTAX (BCB);-912444,42;-173,81;-912618,23;-8,7683;;;;
