SANTANDER - DITL;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Tax (IOF);;;;;USD;BRL;AC;VC;;;;;;;;;;;;;;;;;
12/04/25 sáb;0,00%; 5,87 ;1.646.429,36 ; 313,63 ; 1.031,70 ; 1.646.742,98 ; 3.686,28 ; 10.003.686,31 ; 9.347.901,22 ;-655.785,08 ; 14,01 ; 1.228,76 ; -   ; -   ;;;;;;;;;;;;;;
13/04/25 dom;0,00%; 5,87 ;1.646.742,98 ; 313,69 ; 1.345,39 ; 1.647.056,67 ; 5.528,78 ; 10.005.528,80 ; 9.349.681,89 ;-655.846,91 ; 21,01 ; 1.842,93 ; -   ; -   ;;;;;;;;;;;;;;
14/04/25 seg;0,00%; 5,84 ;1.647.056,67 ; 313,75 ; 1.659,14 ; 1.647.370,42 ; 7.361,84 ; 10.007.361,86 ; 9.351.462,90 ;-655.898,96 ; 27,97 ; 2.453,95 ; -   ; -   ;;;;;;;;;;;;;;
15/04/25 ter;0,00%; 5,87 ;1.647.370,42 ; 313,81 ; 1.972,94 ; 1.647.684,22 ; 9.204,10 ; 10.009.204,12 ; 9.353.244,25 ;-655.959,87 ; 34,98 ; 3.068,03 ; -   ; -   ;;;;;;;;;;;;;;
16/04/25 qua;0,00%; 5,88 ;1.647.684,22 ; 313,87 ; 2.286,81 ; 1.647.998,09 ; 11.049,88 ; 10.011.049,90 ; 9.355.025,94 ;-656.023,96 ; 41,99 ; 3.683,29 ; -   ; -   ;;;;;;;;;;;;;;
17/04/25 qui;0,00%; 5,86 ;1.647.998,09 ; 313,93 ; 2.600,73 ; 1.648.312,01 ; 12.888,20 ; 10.012.888,22 ; 9.356.807,97 ;-656.080,25 ; 48,98 ; 4.296,07 ; -   ; -   ;;;;;;;;;;;;;;
18/04/25 sex;0,00%; 5,86 ;1.648.312,01 ; 313,99 ; 2.914,72 ; 1.648.626,00 ; 14.726,86 ; 10.014.726,88 ; 9.358.590,34 ;-656.136,55 ; 55,96 ; 4.908,95 ; -   ; -   ;;;;;;;;;;;;;;
19/04/25 sáb;0,00%; 5,86 ;1.648.626,00 ; 314,04 ; 3.228,76 ; 1.648.940,04 ; 16.565,88 ; 10.016.565,90 ; 9.360.373,04 ;-656.192,85 ; 62,95 ; 5.521,96 ; -   ; -   ;;;;;;;;;;;;;;
20/04/25 dom;0,00%; 5,86 ;1.648.940,04 ; 314,10 ; 3.542,87 ; 1.649.254,15 ; 18.405,24 ; 10.018.405,26 ; 9.362.156,09 ;-656.249,17 ; 69,94 ; 6.135,08 ; -   ; -   ;;;;;;;;;;;;;;
21/04/25 seg;0,00%; 5,86 ;1.649.254,15 ; 314,16 ; 3.857,03 ; 1.649.568,31 ; 20.244,96 ; 10.020.244,98 ; 9.363.939,48 ;-656.305,50 ; 76,93 ; 6.748,32 ; -   ; -   ;;;;;;;;;;;;;;
22/04/25 ter;0,00%; 5,75 ;1.649.568,31 ; 314,22 ; 4.171,26 ; 1.649.882,54 ; 22.051,62 ; 10.022.051,64 ; 9.365.723,20 ;-656.328,44 ; 83,80 ; 7.350,54 ; -   ; -   ;;;;;;;;;;;;;;
23/04/25 qua;0,00%; 5,69 ;1.649.882,54 ; 314,28 ; 4.485,54 ; 1.650.196,82 ; 23.839,27 ; 10.023.839,29 ; 9.367.507,27 ;-656.332,02 ; 90,59 ; 7.946,42 ; -   ; -   ;;;;;;;;;;;;;;
24/04/25 qui;0,00%; 5,67 ;1.650.196,82 ; 314,34 ; 4.799,88 ; 1.650.511,16 ; 25.622,80 ; 10.025.622,82 ; 9.369.291,67 ;-656.331,14 ; 97,37 ; 8.540,93 ; -   ; -   ;;;;;;;;;;;;;;
25/04/25 sex;0,00%; 5,68 ;1.650.511,16 ; 314,40 ; 5.114,29 ; 1.650.825,57 ; 27.410,06 ; 10.027.410,08 ; 9.371.076,42 ;-656.333,66 ; 104,16 ; 9.136,69 ; -   ; -   ;;;;;;;;;;;;;;
26/04/25 sáb;0,00%; 5,68 ;1.650.825,57 ; 314,46 ; 5.428,75 ; 1.651.140,03 ; 29.197,66 ; 10.029.197,68 ; 9.372.861,50 ;-656.336,17 ; 110,95 ; 9.732,55 ; -   ; -   ;;;;;;;;;;;;;;
27/04/25 dom;0,00%; 5,68 ;1.651.140,03 ; 314,52 ; 5.743,28 ; 1.651.454,56 ; 30.985,60 ; 10.030.985,62 ; 9.374.646,93 ;-656.338,69 ; 117,75 ; 10.328,53 ; -   ; -   ;;;;;;;;;;;;;;
28/04/25 seg;0,00%; 5,67 ;1.651.454,56 ; 314,58 ; 6.057,86 ; 1.651.769,14 ; 32.768,69 ; 10.032.768,71 ; 9.376.432,70 ;-656.336,02 ; 124,52 ; 10.922,90 ; -   ; -   ;;;;;;;;;;;;;;
29/04/25 ter;0,00%; 5,65 ;1.651.769,14 ; 314,64 ; 6.372,50 ; 1.652.083,78 ; 34.545,39 ; 10.034.545,41 ; 9.378.218,80 ;-656.326,61 ; 131,27 ; 11.515,13 ; -   ; -   ;;;;;;;;;;;;;;
30/04/25 qua;0,00%; 5,66 ;1.652.083,78 ; 314,70 ; 6.687,21 ; 1.652.398,49 ; 36.326,86 ; 10.036.326,88 ; 9.380.005,25 ;-656.321,64 ; 138,04 ; 12.108,95 ; -   ; -   ;;;;;;;;;;;;;;
01/05/25 qui;0,00%; 5,66 ;1.652.398,49 ; 314,76 ; 7.001,97 ; 1.652.713,25 ; 38.108,67 ; 10.038.108,70 ; 9.453.354,52 ;-584.754,18 ; 144,81 ; 12.702,89 ; -   ; -   ;;;;;;;;;;;;;;
02/05/25 sex;0,00%; 5,64 ;1.652.713,25 ; 314,82 ; 7.316,79 ; 1.653.028,07 ; 39.884,09 ; 10.039.884,11 ; 9.455.155,28 ;-584.728,84 ; 151,56 ; 13.294,70 ; -   ; -   ;;;;;;;;;;;;;;
03/05/25 sáb;0,00%; 5,64 ;1.653.028,07 ; 314,88 ; 7.631,68 ; 1.653.342,96 ; 41.659,84 ; 10.041.659,86 ; 9.456.956,38 ;-584.703,49 ; 158,31 ; 13.886,61 ; -   ; -   ;;;;;;;;;;;;;;
04/05/25 dom;0,00%; 5,64 ;1.653.342,96 ; 314,94 ; 7.946,62 ; 1.653.657,90 ; 43.435,93 ; 10.043.435,96 ; 9.458.757,82 ;-584.678,14 ; 165,06 ; 14.478,64 ; -   ; -   ;;;;;;;;;;;;;;
05/05/25 seg;0,00%; 5,65 ;1.653.657,90 ; 315,00 ; 8.261,62 ; 1.653.972,90 ; 45.216,33 ; 10.045.216,36 ; 9.460.559,61 ;-584.656,75 ; 171,82 ; 15.072,11 ; -   ; -   ;;;;;;;;;;;;;;
06/05/25 ter;0,00%; 5,72 ;1.653.972,90 ; 315,06 ; 8.576,69 ; 1.654.287,97 ; 47.018,81 ; 10.047.018,83 ; 9.462.361,74 ;-584.657,09 ; 178,67 ; 15.672,94 ; -   ; -   ;;;;;;;;;;;;;;
07/05/25 qua;0,00%; 5,74 ;1.654.287,97 ; 315,12 ; 8.891,81 ; 1.654.603,09 ; 48.826,83 ; 10.048.826,85 ; 9.464.164,21 ;-584.662,64 ; 185,54 ; 16.275,61 ; -   ; -   ;;;;;;;;;;;;;;
08/05/25 qui;0,00%; 5,69 ;1.654.603,09 ; 315,18 ; 9.206,99 ; 1.654.918,27 ; 50.618,96 ; 10.050.618,99 ; 9.465.967,03 ;-584.651,95 ; 192,35 ; 16.872,99 ; -   ; -   ;;;;;;;;;;;;;;
09/05/25 sex;0,00%; 5,65 ;1.654.918,27 ; 315,24 ; 9.522,24 ; 1.655.233,52 ; 52.400,44 ; 10.052.400,46 ; 9.467.770,19 ;-584.630,27 ; 199,12 ; 17.466,81 ; -   ; -   ;;;;;;;;;;;;;;
10/05/25 sáb;0,00%; 5,65 ;1.655.233,52 ; 315,30 ; 9.837,54 ; 1.655.548,82 ; 54.182,25 ; 10.054.182,27 ; 9.469.573,70 ;-584.608,57 ; 205,89 ; 18.060,75 ; -   ; -   ;;;;;;;;;;;;;;
11/05/25 dom;0,00%; 5,65 ;1.655.548,82 ; 315,36 ; 10.152,90 ; 1.655.864,18 ; 55.964,40 ; 10.055.964,42 ; 9.471.377,55 ;-584.586,88 ; 212,66 ; 18.654,80 ; -   ; -   ;;;;;;;;;;;;;;
12/05/25 seg;0,00%; 5,68 ;1.655.864,18 ; 315,42 ; 10.468,33 ; 1.656.179,61 ; 57.756,70 ; 10.057.756,72 ; 9.473.181,74 ;-584.574,98 ; 219,48 ; 19.252,23 ; -   ; -   ;;;;;;;;;;;;;;
13/05/25 ter;0,00%; 5,63 ;1.656.179,61 ; 315,48 ; 10.783,81 ; 1.656.495,09 ; 59.531,67 ; 10.059.531,70 ; 9.474.986,27 ;-584.545,42 ; 226,22 ; 19.843,89 ; -   ; -   ;;;;;;;;;;;;;;
14/05/25 qua;0,00%; 5,61 ;1.656.495,09 ; 315,54 ; 11.099,35 ; 1.656.810,63 ; 61.301,87 ; 10.061.301,90 ; 9.476.791,15 ;-584.510,75 ; 232,95 ; 20.433,96 ; -   ; -   ;;;;;;;;;;;;;;
15/05/25 qui;0,00%; 5,63 ;1.656.810,63 ; 315,60 ; 11.414,96 ; 1.657.126,24 ; 63.079,61 ; 10.063.079,63 ; 9.478.596,37 ;-584.483,26 ; 239,70 ; 21.026,54 ; -   ; -   ;;;;;;;;;;;;;;
16/05/25 sex;0,00%; 5,69 ;1.657.126,24 ; 315,66 ; 11.730,62 ; 1.657.441,90 ; 64.876,53 ; 10.064.876,55 ; 9.480.401,94 ;-584.474,61 ; 246,53 ; 21.625,51 ; -   ; -   ;;;;;;;;;;;;;;
17/05/25 sáb;0,00%; 5,69 ;1.657.441,90 ; 315,72 ; 12.046,35 ; 1.657.757,63 ; 66.673,79 ; 10.066.673,81 ; 9.482.207,85 ;-584.465,96 ; 253,36 ; 22.224,60 ; -   ; -   ;;;;;;;;;;;;;;
18/05/25 dom;0,00%; 5,69 ;1.657.757,63 ; 315,78 ; 12.362,13 ; 1.658.073,41 ; 68.471,39 ; 10.068.471,41 ; 9.484.014,11 ;-584.457,30 ; 260,19 ; 22.823,80 ; -   ; -   ;;;;;;;;;;;;;;
19/05/25 seg;0,00%; 5,66 ;1.658.073,41 ; 315,84 ; 12.677,98 ; 1.658.389,26 ; 70.258,78 ; 10.070.258,81 ; 9.485.820,70 ;-584.438,10 ; 266,98 ; 23.419,59 ; -   ; -   ;;;;;;;;;;;;;;
20/05/25 ter;0,00%; 5,66 ;1.658.389,26 ; 315,90 ; 12.993,88 ; 1.658.705,16 ; 72.047,44 ; 10.072.047,46 ; 9.487.627,65 ;-584.419,81 ; 273,78 ; 24.015,81 ; -   ; -   ;;;;;;;;;;;;;;
21/05/25 qua;0,00%; 5,66 ;1.658.705,16 ; 315,96 ; 13.309,85 ; 1.659.021,13 ; 73.834,88 ; 10.073.834,90 ; 9.489.434,93 ;-584.399,97 ; 280,57 ; 24.611,63 ; -   ; -   ;;;;;;;;;;;;;;
22/05/25 qui;0,00%; 5,64 ;1.659.021,13 ; 316,02 ; 13.625,87 ; 1.659.337,15 ; 75.616,95 ; 10.075.616,97 ; 9.491.242,57 ;-584.374,40 ; 287,34 ; 25.205,65 ; -   ; -   ;;;;;;;;;;;;;;
23/05/25 sex;0,00%; 5,69 ;1.659.337,15 ; 316,09 ; 13.941,96 ; 1.659.653,24 ; 77.416,48 ; 10.077.416,50 ; 9.493.050,54 ;-584.365,96 ; 294,18 ; 25.805,49 ; -   ; -   ;;;;;;;;;;;;;;
24/05/25 sáb;0,00%; 5,69 ;1.659.653,24 ; 316,15 ; 14.258,10 ; 1.659.969,38 ; 79.216,36 ; 10.079.216,38 ; 9.494.858,86 ;-584.357,52 ; 301,02 ; 26.405,45 ; -   ; -   ;;;;;;;;;;;;;;
25/05/25 dom;0,00%; 5,69 ;1.659.969,38 ; 316,21 ; 14.574,31 ; 1.660.285,59 ; 81.016,58 ; 10.081.016,60 ; 9.496.667,53 ;-584.349,08 ; 307,86 ; 27.005,53 ; -   ; -   ;;;;;;;;;;;;;;
26/05/25 seg;0,00%; 5,66 ;1.660.285,59 ; 316,27 ; 14.890,57 ; 1.660.601,85 ; 82.807,25 ; 10.082.807,27 ; 9.498.476,54 ;-584.330,73 ; 314,67 ; 27.602,42 ; -   ; -   ;;;;;;;;;;;;;;
27/05/25 ter;0,00%; 5,65 ;1.660.601,85 ; 316,33 ; 15.206,90 ; 1.660.918,18 ; 84.595,72 ; 10.084.595,75 ; 9.500.285,89 ;-584.309,86 ; 321,46 ; 28.198,57 ; -   ; -   ;;;;;;;;;;;;;;
28/05/25 qua;0,00%; 5,69 ;1.660.918,18 ; 316,39 ; 15.523,28 ; 1.661.234,56 ; 86.397,10 ; 10.086.397,12 ; 9.502.095,59 ;-584.301,54 ; 328,31 ; 28.799,03 ; -   ; -   ;;;;;;;;;;;;;;
29/05/25 qui;0,00%; 5,66 ;1.661.234,56 ; 316,45 ; 15.839,73 ; 1.661.551,01 ; 88.186,89 ; 10.088.186,91 ; 9.503.905,63 ;-584.281,28 ; 335,11 ; 29.395,63 ; -   ; -   ;;;;;;;;;;;;;;
30/05/25 sex;0,00%; 5,71 ;1.661.551,01 ; 316,51 ; 16.156,24 ; 1.661.867,52 ; 89.993,73 ; 10.089.993,76 ; 9.505.716,02 ;-584.277,74 ; 341,98 ; 29.997,91 ; -   ; -   ;;;;;;;;;;;;;;
31/05/25 sáb;0,00%; 5,71 ;1.661.867,52 ; 316,57 ; 16.472,81 ; 1.662.184,09 ; 91.800,92 ; 10.091.800,94 ; 9.507.526,75 ;-584.274,19 ; 348,84 ; 30.600,31 ; -   ; -   ;;;;;;;;;;;;;;
01/06/25 dom;0,00%; 5,71 ;1.662.184,09 ; 316,63 ; 16.789,43 ; 1.662.500,71 ; 93.608,45 ; 10.093.608,48 ; 9.033.363,87 ;-1.060.244,60 ; 355,71 ; 31.202,82 ; -   ; -   ;;;;;;;;;;;;;;
02/06/25 seg;0,00%; 5,69 ;1.662.500,71 ; 316,69 ; 17.106,12 ; 1.662.817,40 ; 95.411,58 ; 10.095.411,60 ; 9.035.084,63 ;-1.060.326,97 ; 362,56 ; 31.803,86 ; -   ; -   ;;;;;;;;;;;;;;
03/06/25 ter;0,00%; 5,67 ;1.662.817,40 ; 316,75 ; 17.422,87 ; 1.663.134,15 ; 97.207,35 ; 10.097.207,37 ; 9.036.805,71 ;-1.060.401,66 ; 369,39 ; 32.402,45 ; -   ; -   ;;;;;;;;;;;;;;
04/06/25 qua;0,00%; 5,63 ;1.663.134,15 ; 316,81 ; 17.739,68 ; 1.663.450,96 ; 98.992,00 ; 10.098.992,02 ; 9.038.527,12 ;-1.060.464,90 ; 376,17 ; 32.997,33 ; -   ; -   ;;;;;;;;;;;;;;
05/06/25 qui;0,00%; 5,60 ;1.663.450,96 ; 316,87 ; 18.056,55 ; 1.663.767,83 ; 100.765,48 ; 10.100.765,50 ; 9.040.248,86 ;-1.060.516,64 ; 382,91 ; 33.588,49 ; -   ; -   ;;;;;;;;;;;;;;
06/06/25 sex;0,00%; 5,59 ;1.663.767,83 ; 316,93 ; 18.373,48 ; 1.664.084,76 ; 102.538,60 ; 10.102.538,63 ; 9.041.970,93 ;-1.060.567,70 ; 389,65 ; 34.179,53 ; -   ; -   ;;;;;;;;;;;;;;
07/06/25 sáb;0,00%; 5,59 ;1.664.084,76 ; 316,99 ; 18.690,47 ; 1.664.401,75 ; 104.312,06 ; 10.104.312,09 ; 9.043.693,32 ;-1.060.618,76 ; 396,39 ; 34.770,69 ; -   ; -   ;;;;;;;;;;;;;;
08/06/25 dom;0,00%; 5,59 ;1.664.401,75 ; 317,05 ; 19.007,52 ; 1.664.718,80 ; 106.085,86 ; 10.106.085,89 ; 9.045.416,05 ;-1.060.669,84 ; 403,13 ; 35.361,95 ; -   ; -   ;;;;;;;;;;;;;;
09/06/25 seg;0,00%; 5,58 ;1.664.718,80 ; 317,11 ; 19.324,63 ; 1.665.035,91 ; 107.854,07 ; 10.107.854,09 ; 9.047.139,10 ;-1.060.715,00 ; 409,85 ; 35.951,36 ; -   ; -   ;;;;;;;;;;;;;;
10/06/25 ter;0,00%; 5,56 ;1.665.035,91 ; 317,17 ; 19.641,80 ; 1.665.353,08 ; 109.616,18 ; 10.109.616,20 ; 9.048.862,47 ;-1.060.753,72 ; 416,54 ; 36.538,73 ; -   ; -   ;;;;;;;;;;;;;;
11/06/25 qua;0,00%; 5,54 ;1.665.353,08 ; 317,23 ; 19.959,03 ; 1.665.670,31 ; 111.373,32 ; 10.111.373,34 ; 9.050.586,18 ;-1.060.787,16 ; 423,22 ; 37.124,44 ; -   ; -   ;;;;;;;;;;;;;;
12/06/25 qui;0,00%; 5,54 ;1.665.670,31 ; 317,29 ; 20.276,32 ; 1.665.987,60 ; 113.130,73 ; 10.113.130,76 ; 9.052.310,22 ;-1.060.820,54 ; 429,90 ; 37.710,24 ; -   ; -   ;;;;;;;;;;;;;;
13/06/25 sex;0,00%; 5,57 ;1.665.987,60 ; 317,35 ; 20.593,67 ; 1.666.304,95 ; 114.896,86 ; 10.114.896,88 ; 9.054.034,58 ;-1.060.862,30 ; 436,61 ; 38.298,95 ; -   ; -   ;;;;;;;;;;;;;;
14/06/25 sáb;0,00%; 5,57 ;1.666.304,95 ; 317,41 ; 20.911,08 ; 1.666.622,36 ; 116.663,33 ; 10.116.663,35 ; 9.055.759,27 ;-1.060.904,07 ; 443,32 ; 38.887,78 ; -   ; -   ;;;;;;;;;;;;;;
15/06/25 dom;0,00%; 5,57 ;1.666.622,36 ; 317,47 ; 21.228,56 ; 1.666.939,84 ; 118.430,13 ; 10.118.430,15 ; 9.057.484,30 ;-1.060.945,85 ; 450,03 ; 39.476,71 ; -   ; -   ;;;;;;;;;;;;;;
16/06/25 seg;0,00%; 5,51 ;1.666.939,84 ; 317,53 ; 21.546,09 ; 1.667.257,37 ; 120.180,47 ; 10.120.180,49 ; 9.059.209,64 ;-1.060.970,84 ; 456,69 ; 40.060,16 ; -   ; -   ;;;;;;;;;;;;;;
17/06/25 ter;0,00%; 5,48 ;1.667.257,37 ; 317,59 ; 21.863,68 ; 1.667.574,96 ; 121.920,02 ; 10.121.920,05 ; 9.060.935,32 ;-1.060.984,72 ; 463,30 ; 40.640,01 ; -   ; -   ;;;;;;;;;;;;;;
18/06/25 qua;0,00%; 5,49 ;1.667.574,96 ; 317,65 ; 22.181,34 ; 1.667.892,62 ; 123.663,28 ; 10.123.663,30 ; 9.062.661,33 ;-1.061.001,97 ; 469,92 ; 41.221,09 ; -   ; -   ;;;;;;;;;;;;;;
19/06/25 qui;0,00%; 5,49 ;1.667.892,62 ; 317,71 ; 22.499,05 ; 1.668.210,33 ; 125.406,87 ; 10.125.406,89 ; 9.064.387,67 ;-1.061.019,22 ; 476,55 ; 41.802,29 ; -   ; -   ;;;;;;;;;;;;;;
20/06/25 sex;0,00%; 5,50 ;1.668.210,33 ; 317,78 ; 22.816,83 ; 1.668.528,11 ; 127.153,27 ; 10.127.153,29 ; 9.066.114,33 ;-1.061.038,96 ; 483,18 ; 42.384,42 ; -   ; -   ;;;;;;;;;;;;;;
21/06/25 sáb;0,00%; 5,50 ;1.668.528,11 ; 317,84 ; 23.134,66 ; 1.668.845,94 ; 128.900,00 ; 10.128.900,02 ; 9.067.841,32 ;-1.061.058,69 ; 489,82 ; 42.966,67 ; -   ; -   ;;;;;;;;;;;;;;
22/06/25 dom;0,00%; 5,50 ;1.668.845,94 ; 317,90 ; 23.452,56 ; 1.669.163,84 ; 130.647,06 ; 10.130.647,08 ; 9.069.568,65 ;-1.061.078,44 ; 496,46 ; 43.549,02 ; -   ; -   ;;;;;;;;;;;;;;
23/06/25 seg;0,00%; 5,52 ;1.669.163,84 ; 317,96 ; 23.770,52 ; 1.669.481,80 ; 132.402,60 ; 10.132.402,62 ; 9.071.296,30 ;-1.061.106,32 ; 503,13 ; 44.134,20 ; -   ; -   ;;;;;;;;;;;;;;
24/06/25 ter;0,00%; 5,49 ;1.669.481,80 ; 318,02 ; 24.088,54 ; 1.669.799,82 ; 134.149,72 ; 10.134.149,74 ; 9.073.024,28 ;-1.061.125,47 ; 509,77 ; 44.716,57 ; -   ; -   ;;;;;;;;;;;;;;
25/06/25 qua;0,00%; 5,54 ;1.669.799,82 ; 318,08 ; 24.406,61 ; 1.670.117,89 ; 135.912,73 ; 10.135.912,76 ; 9.074.752,59 ;-1.061.160,17 ; 516,47 ; 45.304,24 ; -   ; -   ;;;;;;;;;;;;;;
26/06/25 qui;0,00%; 5,51 ;1.670.117,89 ; 318,14 ; 24.724,75 ; 1.670.436,03 ; 137.667,11 ; 10.137.667,13 ; 9.076.481,23 ;-1.061.185,90 ; 523,14 ; 45.889,04 ; -   ; -   ;;;;;;;;;;;;;;
27/06/25 sex;0,00%; 5,48 ;1.670.436,03 ; 318,20 ; 25.042,95 ; 1.670.754,23 ; 139.409,54 ; 10.139.409,56 ; 9.078.210,20 ;-1.061.199,36 ; 529,76 ; 46.469,85 ; -   ; -   ;;;;;;;;;;;;;;
28/06/25 sáb;0,00%; 5,48 ;1.670.754,23 ; 318,26 ; 25.361,21 ; 1.671.072,49 ; 141.152,30 ; 10.141.152,32 ; 9.079.939,49 ;-1.061.212,83 ; 536,38 ; 47.050,77 ; -   ; -   ;;;;;;;;;;;;;;
29/06/25 dom;0,00%; 5,48 ;1.671.072,49 ; 318,32 ; 25.679,53 ; 1.671.390,81 ; 142.895,39 ; 10.142.895,41 ; 9.081.669,12 ;-1.061.226,29 ; 543,00 ; 47.631,80 ; -   ; -   ;;;;;;;;;;;;;;
30/06/25 seg;0,00%; 5,46 ;1.671.390,81 ; 318,38 ; 25.997,91 ; 1.671.709,19 ; 144.632,83 ; 10.144.632,85 ; 9.083.399,08 ;-1.061.233,77 ; 549,60 ; 48.210,94 ; -   ; -   ;;;;;;;;;;;;;;
01/07/25 ter;0,00%; 5,45 ;1.671.709,19 ; 318,44 ; 26.316,36 ; 1.672.027,64 ; 146.368,69 ; 10.146.368,71 ; 9.364.023,57 ;-782.345,14 ; 556,20 ; 48.789,56 ; -   ; -   ;;;;;;;;;;;;;;
02/07/25 qua;0,00%; 5,45 ;1.672.027,64 ; 318,50 ; 26.634,86 ; 1.672.346,14 ; 148.104,91 ; 10.148.104,93 ; 9.365.807,31 ;-782.297,62 ; 562,80 ; 49.368,30 ; -   ; -   ;;;;;;;;;;;;;;
03/07/25 qui;0,00%; 5,42 ;1.672.346,14 ; 318,56 ; 26.953,42 ; 1.672.664,70 ; 149.831,78 ; 10.149.831,80 ; 9.367.591,40 ;-782.240,40 ; 569,36 ; 49.943,93 ; -   ; -   ;;;;;;;;;;;;;;
04/07/25 sex;0,00%; 5,41 ;1.672.664,70 ; 318,62 ; 27.272,05 ; 1.672.983,33 ; 151.555,21 ; 10.151.555,24 ; 9.369.375,82 ;-782.179,42 ; 575,91 ; 50.518,40 ; -   ; -   ;;;;;;;;;;;;;;
05/07/25 sáb;0,00%; 5,41 ;1.672.983,33 ; 318,68 ; 27.590,73 ; 1.673.302,01 ; 153.278,98 ; 10.153.279,00 ; 9.371.160,58 ;-782.118,42 ; 582,46 ; 51.092,99 ; -   ; -   ;;;;;;;;;;;;;;
06/07/25 dom;0,00%; 5,41 ;1.673.302,01 ; 318,75 ; 27.909,48 ; 1.673.620,76 ; 155.003,07 ; 10.155.003,09 ; 9.372.945,68 ;-782.057,41 ; 589,01 ; 51.667,69 ; -   ; -   ;;;;;;;;;;;;;;
07/07/25 seg;0,00%; 5,46 ;1.673.620,76 ; 318,81 ; 28.228,28 ; 1.673.939,56 ; 156.742,22 ; 10.156.742,25 ; 9.374.731,12 ;-782.011,12 ; 595,62 ; 52.247,41 ; -   ; -   ;;;;;;;;;;;;;;
08/07/25 ter;0,00%; 5,46 ;1.673.939,56 ; 318,87 ; 28.547,15 ; 1.674.258,43 ; 158.482,31 ; 10.158.482,33 ; 9.376.516,90 ;-781.965,43 ; 602,23 ; 52.827,44 ; -   ; -   ;;;;;;;;;;;;;;
09/07/25 qua;0,00%; 5,46 ;1.674.258,43 ; 318,93 ;-629,75 ; 1.316.270,67 ;-899,40 ; 8.202.938,40 ; 7.371.642,25 ;-831.296,14 ;-3,42 ;-299,80 ; 29.495,82 ; 328.810,86 ; 161.123,88 ; 1.796.162,23 ;;;;;;;;;;;;
10/07/25 qui;0,00%; 5,54 ;1.316.270,67 ; 250,73 ;-379,01 ; 1.316.521,40 ; 490,50 ; 8.204.328,30 ; 7.373.046,47 ;-831.281,83 ; 1,86 ; 163,50 ; -   ; -   ;;;;;;;;;;;;;;
11/07/25 sex;0,00%; 5,57 ;1.316.521,40 ; 250,78 ;-128,23 ; 1.316.772,19 ; 1.887,91 ; 8.205.725,71 ; 7.374.450,95 ;-831.274,75 ; 7,17 ; 629,30 ; -   ; -   ;;;;;;;;;;;;;;
12/07/25 sáb;0,00%; 5,57 ;1.316.772,19 ; 250,83 ; 122,60 ; 1.317.023,02 ; 3.285,59 ; 8.207.123,38 ; 7.375.855,70 ;-831.267,68 ; 12,49 ; 1.095,20 ; -   ; -   ;;;;;;;;;;;;;;
13/07/25 dom;0,00%; 5,57 ;1.317.023,02 ; 250,88 ; 373,48 ; 1.317.273,89 ; 4.683,53 ; 8.208.521,33 ; 7.377.260,72 ;-831.260,61 ; 17,80 ; 1.561,18 ; -   ; -   ;;;;;;;;;;;;;;
14/07/25 seg;0,00%; 5,56 ;1.317.273,89 ; 250,93 ; 624,41 ; 1.317.524,82 ; 6.078,56 ; 8.209.916,35 ; 7.378.666,01 ;-831.250,34 ; 23,10 ; 2.026,19 ; -   ; -   ;;;;;;;;;;;;;;
15/07/25 ter;0,00%; 5,56 ;1.317.524,82 ; 250,97 ; 875,38 ; 1.317.775,79 ; 7.473,37 ; 8.211.311,16 ; 7.380.071,56 ;-831.239,60 ; 28,40 ; 2.491,12 ; -   ; -   ;;;;;;;;;;;;;;
16/07/25 qua;0,00%; 5,57 ;1.317.775,79 ; 251,02 ; 1.126,40 ; 1.318.026,82 ; 8.872,11 ; 8.212.709,90 ; 7.381.477,38 ;-831.232,52 ; 33,71 ; 2.957,37 ; -   ; -   ;;;;;;;;;;;;;;
17/07/25 qui;0,00%; 5,57 ;1.318.026,82 ; 251,07 ; 1.377,47 ; 1.318.277,89 ; 10.271,50 ; 8.214.109,29 ; 7.382.883,47 ;-831.225,82 ; 39,03 ; 3.423,83 ; -   ; -   ;;;;;;;;;;;;;;
18/07/25 sex;0,00%; 5,55 ;1.318.277,89 ; 251,12 ; 1.628,59 ; 1.318.529,00 ; 11.664,34 ; 8.215.502,14 ; 7.384.289,83 ;-831.212,31 ; 44,32 ; 3.888,11 ; -   ; -   ;;;;;;;;;;;;;;
19/07/25 sáb;0,00%; 5,55 ;1.318.529,00 ; 251,17 ; 1.879,75 ; 1.318.780,17 ; 13.057,46 ; 8.216.895,25 ; 7.385.696,45 ;-831.198,80 ; 49,62 ; 4.352,49 ; -   ; -   ;;;;;;;;;;;;;;
20/07/25 dom;0,00%; 5,55 ;1.318.780,17 ; 251,21 ; 2.130,97 ; 1.319.031,38 ; 14.450,83 ; 8.218.288,63 ; 7.387.103,34 ;-831.185,28 ; 54,91 ; 4.816,94 ; -   ; -   ;;;;;;;;;;;;;;
21/07/25 seg;0,00%; 5,56 ;1.319.031,38 ; 251,26 ; 2.382,23 ; 1.319.282,64 ; 15.848,47 ; 8.219.686,26 ; 7.388.510,51 ;-831.175,76 ; 60,22 ; 5.282,82 ; -   ; -   ;;;;;;;;;;;;;;
